start_frame,end_frame,label,time_s
1,400,reversal,4.27
401,463,forward,0.65
464,532,turn,0.7
533,862,reversal,4.54
863,2212,forward,19.99
2213,2422,reversal,3.09
2423,3142,forward,10.74
3143,3267,reversal,1.84
3268,3307,turn,0.92
3308,4217,forward,13.1
4218,4517,reversal,3.7
4518,4572,forward,0.81
4573,4619,turn,0.66
4620,5289,forward,9.46
5290,5579,reversal,4.27
5580,5645,turn,0.99
5646,5715,reversal,1
5716,6745,forward,15.04
6746,6885,reversal,2.07
6886,6929,turn,0.65
6930,6979,forward,0.73
6980,7075,reversal,1.41
7076,7107,turn,0.95
7108,8677,forward,21.35
8678,8902,reversal,2.81
8903,8944,forward,0.46
8945,8974,turn,0.37
8975,9564,forward,8.35
9565,10320,reversal,10.95
10321,10346,turn,0.75
10347,10396,reversal,0.72
10397,12247,forward,24.17
12248,12290,turn,0.52
12291,12810,forward,7.35
12811,13186,reversal,5.46
13187,13311,turn,1.67
13312,14021,forward,9.09
14022,14421,reversal,5.36
14422,14485,turn,1.39
14486,14595,reversal,1.63
14596,15195,forward,8.23
15196,15245,reversal,0.61
15246,16355,forward,16.3
16356,16645,reversal,4.06
16646,16707,forward,0.92
16708,16786,turn,1.18
16787,16886,forward,1.5
16887,16966,reversal,1.19
16967,17069,turn,2.24
17070,17409,forward,5.11
17410,17619,reversal,2.84
17620,17770,turn,2.23
17771,17830,reversal,0.87
17831,18120,forward,3.75
18121,18300,reversal,2.3
18301,19100,forward,10.55
19101,19170,reversal,0.87
19171,19840,forward,9.81
19841,19980,reversal,1.89
19981,20037,forward,0.7
20038,20083,turn,0.89
20084,20153,reversal,1.03
20154,20280,forward,1.66
20281,20326,turn,0.76
20327,20486,reversal,2.25
20487,20766,forward,4.11
20767,20906,reversal,2.06
20907,20964,turn,1.05
20965,21136,reversal,2.55
21137,21616,forward,7.06
21617,21756,reversal,1.83
21757,22226,forward,7.06
22227,22336,reversal,1.64
22337,22716,forward,5.17
22717,22766,reversal,0.58
22767,23436,forward,9.52
23437,23496,reversal,0.89
23497,23532,forward,0.52
23533,23569,outlier,0.54
