start_frame,end_frame,label,time_s
1,466,reversal,4.96
467,539,turn,0.74
540,869,reversal,4.57
870,2219,forward,20
2220,2429,reversal,3.09
2430,3139,forward,10.59
3140,3295,reversal,2.64
3296,4215,forward,13.23
4216,4574,reversal,4.58
4575,4606,turn,0.45
4607,5286,forward,9.6
5287,5601,reversal,4.64
5602,5653,turn,0.77
5654,5713,reversal,0.87
5714,6753,forward,15.19
6754,6893,reversal,2.07
6894,6982,forward,1.32
6983,7093,reversal,2.13
7094,8693,forward,21.79
8694,8823,reversal,1.62
8824,8912,outlier,1.06
8913,9555,forward,8.96
9556,10394,reversal,12.55
10395,12184,forward,23.44
12185,12214,reversal,0.37
12215,12253,forward,0.45
12254,12272,turn,0.22
12273,12812,forward,7.6
12813,13296,reversal,6.89
13297,14016,forward,9.24
14017,14583,reversal,8.31
14584,15193,forward,8.38
15194,15243,reversal,0.6
15244,16353,forward,16.31
16354,16709,reversal,5.05
16710,16775,turn,0.99
16776,16885,forward,1.64
16886,17053,reversal,3.22
17054,17403,forward,5.26
17404,17675,reversal,3.75
17676,18125,forward,6.13
18126,18359,reversal,3
18360,19839,forward,20.46
19840,20041,reversal,2.66
20042,20091,turn,0.97
20092,20151,reversal,0.88
20152,20251,forward,1.32
20252,20334,turn,1.25
20335,20484,reversal,2.1
20485,20744,forward,3.81
20745,20904,reversal,2.35
20905,20973,turn,1.22
20974,21143,reversal,2.52
21144,21613,forward,6.92
21614,21793,reversal,2.43
21794,22223,forward,6.45
22224,22333,reversal,1.64
22334,22613,forward,3.91
22614,22673,reversal,0.75
22674,22803,forward,1.62
22804,22833,reversal,0.38
22834,23433,forward,8.58
23434,23503,reversal,1.04
23504,23532,forward,0.42
23533,23569,outlier,0.54
